,Company name,Category
709,ADDEV DIMEX,578
710,AISP METRA,579
711,ASYSTEL,580
712,APTT,581
713,ATELIERS CLOUP,582
714,ARCHITEKTENKAMMER BADEN-WUERTTEMBERG,583
715,ASANA GMBH,584
716,AGICOM SAS,585
717,ALL PRODUCTS,586
718,ADDIUM SAS,587
719,ARLT ALEXANDER,588
720,ASSOCIATION LE CERCLE DE LA MER,589
721,ACTION-NDT,590
722,"AMOPACK, SL",591
723,AZR-CONSULTING,592
724,ADIA,593
725,ALEX GMBH,594
726,AFPI CHARENTE MARITIME,595
727,A FOUBERT VISSERIE SA,596
728,AVON GORGE HOTEL,596
729,AEA SRL,597
730,ABSOLUT SYSTEM,598
731,ALCOA FIXATIONS SIMMONDS SAS,599
732,"ANATRAC A&I, SA",600
733,ACCELONIX LTD,601
734,AXIOME INDUSTRIE,602
735,ALTRAN GMBH & CO. KG,603
736,ALTRAN GMBH & CO KG,603
737,ALTMANN GMBH,603
738,AEB SE,604
739,AEB,604
740,ARBER SEMINARE,605
741,AVISTO TELECOM,606
742,AXIALEASE,607
743,ADM,608
744,A2MS,609
745,ALLIANCE CONCEPT,610
746,ALLIANZ,611
747,AST,612
748,Atkins Ltd,613
749,ARC EN CIEL AVENTURES,614
750,ADVANTEC GMBH,615
751,ANSOR SPRL,616
752,AARON COMMUNICATION,617
753,ATA COMMUNICATION,618
754,ACMA GMBH,619
755,ACLA-WERKE GMBH,619
756,AUTOMATEC,620
757,ARCADIA CONSULTING,621
758,AQUITAINE ISOL ENTREPRISE,622
759,ACQUA JET,623
760,ALLIANCE SOLUTIONS,624
761,ACT ENGINEERING,625
762,ACHILLES INFORMATION,626
763,ASSOCIATION ARMEMENT TERRESTRE,627
764,ASSOCIATION DE L ARMEMENT TERRESTRE,627
765,AGAP,628
766,AVINCO LTD,629
767,AVIVA LIFE & PENSIONS UK LTD,630
768,ASUP GMBH,631
769,ALLIANCE AUTOMOTIVE MARSEILLE,632
770,AIDIMME,633
771,ALOIS MUELLER,634
772,AERNNOVA,635
773,ALTEC GMBH,636
774,ALLTEC GMBH,636
775,AUTAN DES SAVEURS,637
776,ABBIA GNSS TECHNOLOGIES,638
777,AMESYS,639
778,ANABATIC SRL,640
779,AUTOFLUG GMBH & CO,641
780,AUTOPFLEGE & REIFEN TAMMS,641
781,AZUL,642
782,ALRIS,643
783,ACFITEC SARL,644
784,ANAPLAN,645
785,ANR SERVICES,646
786,ARNDT GMBH & CO KG,647
787,AMBASSADE DE FRANCE A SUVA,648
788,AVVISIO,649
789,AFEURAC,650
790,ALTEAD,651
791,ATECA,652
792,SA ADDING,653
793,ACS COATING SYSTEMS GMBH,654
794,ATLANTIC GARAGE,655
795,AGENCE POUR LA PROTECTION DES PROGRAMMES: APP,656
796,ALEXANDER NOLTE,657
797,ALTEN LTD,658
798,ALL CONTENTS,659
799,ASTON UNIVERSITY,660
800,AXE METAL,661
801,A WERNER GMBH,662
802,CIMPA LTD,663
803,ANSYS UK LIMITED,664
804,ABACO SYSTEMS LIMITED,665
805,ADICOM,666
806,ABACA PRESS,667
807,ART MANIAC,668
808,ACTIWORK,669
809,AREALTI,670
810,AFPI 8002,671
811,AGENCY GROUP,672
812,ANTON KOHLER,673
813,ALTRAN QUEST,674
814,ASSISTANCE ET REALISATIONS TECHNIQUES,675
815,AVCOM GMBH,676
816,ASOCIACION SPACE,677
817,ASOCIACION SPACE ESPAA,677
818,ARKAL,678
819,ATIS SA,679
820,AVIATUBE SAS,680
821,ANTEMETA,681
822,ATMOS AVOCATS,682
823,AGORIZE,683
824,ASCENT,684
825,ADDIS ELECTRONIC,685
